Case_ID,Activity,Timestamp,CO2_Impact,Activity_Cost
EMP00001,First Week Check-in,2020-01-24 16:22:10,0.47,488.29
EMP00001,Introduction Session,2020-02-01 01:22:10,1.64,113.26
EMP00001,Complete Documentation,2020-02-07 13:22:10,1.82,194.07
EMP00001,IT Setup,2020-02-16 22:22:10,1.84,237.98
EMP00001,Training Module 1,2020-02-24 08:22:10,1.19,495.3
EMP00001,Training Module 2,2020-02-25 08:22:10,0.33,355.33
EMP00001,Welcome Package Distribution,2020-02-27 16:22:10,0.27,215.35
EMP00001,Feedback Collection,2020-03-08 21:22:10,0.81,96.17
EMP00002,First Week Check-in,2020-06-24 22:01:01,0.57,448.28
EMP00002,Introduction Session,2020-07-01 09:01:01,1.11,357.19
EMP00002,Complete Documentation,2020-07-14 10:01:01,0.23,372.78
EMP00002,IT Setup,2020-07-21 22:01:01,1.72,245.97
EMP00002,Training Module 1,2020-08-02 05:01:01,1.31,362.46
EMP00002,Training Module 2,2020-08-14 05:01:01,0.79,150.23
EMP00002,Welcome Package Distribution,2020-08-28 08:01:01,0.45,178.69
EMP00002,Feedback Collection,2020-09-08 18:01:01,1.57,430.56
EMP00003,First Week Check-in,2020-02-07 11:58:24,0.99,97.54
EMP00003,Introduction Session,2020-02-21 13:58:24,0.92,430.95
EMP00003,Complete Documentation,2020-03-02 13:58:24,1.48,58.59
EMP00003,IT Setup,2020-03-09 22:58:24,1.02,488.59
EMP00003,Training Module 1,2020-03-13 08:58:24,1.17,366.97
EMP00003,Training Module 2,2020-03-22 20:58:24,1.87,315.5
EMP00003,Welcome Package Distribution,2020-04-04 04:58:24,0.69,222.41
EMP00003,Feedback Collection,2020-04-18 15:58:24,1.47,109.69
EMP00004,First Week Check-in,2020-08-06 01:17:13,0.88,94.21
EMP00004,Introduction Session,2020-08-08 03:17:13,1.85,441.67
EMP00004,Complete Documentation,2020-08-15 06:17:13,1.08,242.25
EMP00004,IT Setup,2020-08-17 17:17:13,0.5,156.01
EMP00004,Training Module 1,2020-09-01 00:17:13,1.71,191.56
EMP00004,Training Module 2,2020-09-14 00:17:13,1.12,327.66
EMP00004,Welcome Package Distribution,2020-09-22 09:17:13,1.95,152.22
EMP00004,Feedback Collection,2020-09-27 11:17:13,1.38,318.78
EMP00005,First Week Check-in,2020-02-14 12:52:11,1.59,435.26
EMP00005,Introduction Session,2020-02-29 17:52:11,1.54,70.7
EMP00005,Complete Documentation,2020-03-14 04:52:11,1.4,318.05
EMP00005,IT Setup,2020-03-26 04:52:11,0.72,306.09
EMP00005,Training Module 1,2020-03-28 16:52:11,0.79,403.33
EMP00005,Training Module 2,2020-04-11 23:52:11,1.19,229.66
EMP00005,Welcome Package Distribution,2020-04-15 05:52:11,1.26,334.53
EMP00005,Feedback Collection,2020-04-24 11:52:11,0.61,88.8
EMP00006,First Week Check-in,2020-10-21 13:48:43,1.61,251.55
EMP00006,Introduction Session,2020-10-26 01:48:43,1.45,112.92
EMP00006,Complete Documentation,2020-11-05 08:48:43,1.15,243.66
EMP00006,IT Setup,2020-11-10 18:48:43,1.72,274.34
EMP00006,Training Module 1,2020-11-19 03:48:43,0.26,485.74
EMP00006,Training Module 2,2020-12-03 07:48:43,1.65,202.0
EMP00006,Welcome Package Distribution,2020-12-07 16:48:43,1.91,336.89
EMP00006,Feedback Collection,2020-12-22 01:48:43,0.56,116.3
EMP00007,First Week Check-in,2020-08-22 15:44:45,1.43,235.24
EMP00007,Introduction Session,2020-09-01 22:44:45,1.32,414.3
EMP00007,Complete Documentation,2020-09-09 00:44:45,1.16,73.37
EMP00007,IT Setup,2020-09-23 12:44:45,0.75,163.83
EMP00007,Training Module 1,2020-10-03 14:44:45,0.41,429.02
EMP00007,Training Module 2,2020-10-12 18:44:45,1.47,325.72
EMP00007,Welcome Package Distribution,2020-10-19 18:44:45,0.95,128.44
EMP00007,Feedback Collection,2020-11-03 00:44:45,0.8,79.57
EMP00008,First Week Check-in,2020-05-08 21:42:10,1.7,132.24
EMP00008,Introduction Session,2020-05-10 03:42:10,1.75,194.38
EMP00008,Complete Documentation,2020-05-11 12:42:10,1.71,335.34
EMP00008,IT Setup,2020-05-25 18:42:10,0.78,164.6
EMP00008,Training Module 1,2020-06-02 22:42:10,1.2,155.64
EMP00008,Training Module 2,2020-06-14 23:42:10,1.74,92.75
EMP00008,Welcome Package Distribution,2020-06-30 03:42:10,1.29,248.7
EMP00008,Feedback Collection,2020-07-14 14:42:10,0.6,450.66
EMP00009,First Week Check-in,2020-06-15 21:02:55,1.67,281.13
EMP00009,Introduction Session,2020-06-19 05:02:55,1.78,425.31
EMP00009,Complete Documentation,2020-06-27 07:02:55,1.51,425.84
EMP00009,IT Setup,2020-07-09 10:02:55,1.05,134.76
EMP00009,Training Module 1,2020-07-19 11:02:55,1.03,202.35
EMP00009,Training Module 2,2020-07-21 21:02:55,0.34,297.22
EMP00009,Welcome Package Distribution,2020-07-30 02:02:55,1.11,402.22
EMP00009,Feedback Collection,2020-08-05 08:02:55,1.23,212.3
EMP00010,First Week Check-in,2020-08-12 18:52:29,0.32,384.48
EMP00010,Introduction Session,2020-08-23 23:52:29,0.52,221.78
EMP00010,Complete Documentation,2020-09-03 02:52:29,1.9,278.99
EMP00010,IT Setup,2020-09-11 14:52:29,1.75,256.24
EMP00010,Training Module 1,2020-09-15 02:52:29,0.13,187.49
EMP00010,Training Module 2,2020-09-16 14:52:29,1.34,270.39
EMP00010,Welcome Package Distribution,2020-09-27 19:52:29,1.55,93.55
EMP00010,Feedback Collection,2020-10-02 02:52:29,1.56,54.33
EMP00011,First Week Check-in,2020-09-11 08:45:07,1.72,121.89
EMP00011,Introduction Session,2020-09-15 18:45:07,0.2,279.32
EMP00011,Complete Documentation,2020-09-25 22:45:07,1.97,458.14
EMP00011,IT Setup,2020-09-28 04:45:07,0.55,452.16
EMP00011,Training Module 1,2020-10-10 14:45:07,0.52,491.72
EMP00011,Training Module 2,2020-10-20 21:45:07,1.64,208.29
EMP00011,Welcome Package Distribution,2020-11-01 06:45:07,0.21,51.62
EMP00011,Feedback Collection,2020-11-10 07:45:07,1.97,278.43
EMP00012,First Week Check-in,2020-09-25 20:37:35,1.35,362.2
EMP00012,Introduction Session,2020-10-06 22:37:35,1.41,256.8
EMP00012,Complete Documentation,2020-10-20 07:37:35,1.51,202.33
EMP00012,IT Setup,2020-10-21 07:37:35,1.64,316.34
EMP00012,Training Module 1,2020-10-29 11:37:35,1.26,463.21
EMP00012,Training Module 2,2020-11-08 18:37:35,0.33,140.29
EMP00012,Welcome Package Distribution,2020-11-19 02:37:35,0.17,386.29
EMP00012,Feedback Collection,2020-11-26 04:37:35,1.29,393.81
EMP00013,First Week Check-in,2020-10-03 22:16:43,0.27,107.77
EMP00013,Introduction Session,2020-10-09 23:16:43,0.29,486.66
EMP00013,Complete Documentation,2020-10-21 04:16:43,1.59,403.06
EMP00013,IT Setup,2020-11-05 08:16:43,0.23,343.67
EMP00013,Training Module 1,2020-11-09 09:16:43,1.15,225.23
EMP00013,Training Module 2,2020-11-11 13:16:43,1.84,209.07
EMP00013,Welcome Package Distribution,2020-11-12 21:16:43,1.6,290.77
EMP00013,Feedback Collection,2020-11-28 06:16:43,0.81,195.94
EMP00014,First Week Check-in,2020-09-15 18:51:37,0.18,497.65
EMP00014,Introduction Session,2020-09-18 00:51:37,1.25,398.39
EMP00014,Complete Documentation,2020-09-19 01:51:37,1.93,83.45
EMP00014,IT Setup,2020-09-21 12:51:37,0.64,291.74
EMP00014,Training Module 1,2020-10-06 19:51:37,1.78,116.44
EMP00014,Training Module 2,2020-10-09 01:51:37,1.11,440.67
EMP00014,Welcome Package Distribution,2020-10-15 13:51:37,1.34,76.3
EMP00014,Feedback Collection,2020-10-27 00:51:37,1.86,183.77
EMP00015,First Week Check-in,2020-05-13 03:08:32,0.81,214.34
EMP00015,Introduction Session,2020-05-17 14:08:32,0.37,411.52
EMP00015,Complete Documentation,2020-05-25 16:08:32,0.17,238.35
EMP00015,IT Setup,2020-05-31 04:08:32,0.96,70.46
EMP00015,Training Module 1,2020-06-12 13:08:32,0.88,159.83
EMP00015,Training Module 2,2020-06-15 20:08:32,1.4,486.83
EMP00015,Welcome Package Distribution,2020-06-22 21:08:32,0.16,184.45
EMP00015,Feedback Collection,2020-07-03 00:08:32,1.34,262.81
EMP00016,First Week Check-in,2020-12-20 18:03:32,0.9,244.05
EMP00016,Introduction Session,2020-12-25 22:03:32,0.39,474.02
EMP00016,Complete Documentation,2020-12-30 01:03:32,0.66,192.51
EMP00016,IT Setup,2021-01-06 08:03:32,1.79,239.05
EMP00016,Training Module 1,2021-01-21 16:03:32,0.27,76.45
EMP00016,Training Module 2,2021-01-27 19:03:32,0.9,427.88
EMP00016,Welcome Package Distribution,2021-02-03 02:03:32,0.96,305.73
EMP00016,Feedback Collection,2021-02-09 05:03:32,0.47,71.67
EMP00017,First Week Check-in,2020-10-04 01:35:33,1.21,95.07
EMP00017,Introduction Session,2020-10-08 01:35:33,1.32,419.98
EMP00017,Complete Documentation,2020-10-11 11:35:33,1.76,153.64
EMP00017,IT Setup,2020-10-12 22:35:33,1.02,386.03
EMP00017,Training Module 1,2020-10-22 23:35:33,1.72,349.72
EMP00017,Training Module 2,2020-10-27 23:35:33,1.74,462.43
EMP00017,Welcome Package Distribution,2020-11-09 11:35:33,1.08,369.52
EMP00017,Feedback Collection,2020-11-24 18:35:33,1.3,485.83
EMP00018,First Week Check-in,2020-02-14 15:13:02,0.9,467.39
EMP00018,Introduction Session,2020-02-25 22:13:02,0.21,280.64
EMP00018,Complete Documentation,2020-03-08 23:13:02,1.11,247.22
EMP00018,IT Setup,2020-03-21 05:13:02,0.15,163.05
EMP00018,Training Module 1,2020-04-01 14:13:02,0.59,102.66
EMP00018,Training Module 2,2020-04-16 01:13:02,0.87,87.74
EMP00018,Welcome Package Distribution,2020-04-30 06:13:02,0.52,108.67
EMP00018,Feedback Collection,2020-05-07 12:13:02,1.51,255.13
EMP00019,First Week Check-in,2020-02-27 18:46:14,1.04,202.54
EMP00019,Introduction Session,2020-03-03 03:46:14,1.38,170.55
EMP00019,Complete Documentation,2020-03-13 13:46:14,1.97,154.25
EMP00019,IT Setup,2020-03-27 00:46:14,1.49,336.3
EMP00019,Training Module 1,2020-03-29 05:46:14,0.74,427.25
EMP00019,Training Module 2,2020-04-02 11:46:14,0.93,340.26
EMP00019,Welcome Package Distribution,2020-04-09 21:46:14,1.85,302.75
EMP00019,Feedback Collection,2020-04-17 07:46:14,0.16,415.91
EMP00020,First Week Check-in,2020-07-14 19:47:03,1.26,275.24
EMP00020,Introduction Session,2020-07-27 19:47:03,1.63,353.39
EMP00020,Complete Documentation,2020-08-11 01:47:03,0.87,408.59
EMP00020,IT Setup,2020-08-18 09:47:03,1.88,68.99
EMP00020,Training Module 1,2020-08-19 19:47:03,0.79,147.31
EMP00020,Training Module 2,2020-08-29 23:47:03,0.86,72.84
EMP00020,Welcome Package Distribution,2020-09-07 01:47:03,0.11,369.98
EMP00020,Feedback Collection,2020-09-18 05:47:03,0.99,495.89
EMP00021,First Week Check-in,2020-12-18 01:45:41,0.95,275.64
EMP00021,Introduction Session,2020-12-20 01:45:41,0.77,487.31
EMP00021,Complete Documentation,2021-01-04 04:45:41,0.37,207.75
EMP00021,IT Setup,2021-01-19 12:45:41,1.13,104.9
EMP00021,Training Module 1,2021-02-02 22:45:41,0.36,118.41
EMP00021,Training Module 2,2021-02-04 02:45:41,0.36,426.62
EMP00021,Welcome Package Distribution,2021-02-08 12:45:41,1.91,218.33
EMP00021,Feedback Collection,2021-02-21 16:45:41,1.67,418.86
EMP00022,First Week Check-in,2020-02-26 20:26:42,0.13,221.18
EMP00022,Introduction Session,2020-02-29 01:26:42,1.61,396.75
EMP00022,Complete Documentation,2020-03-12 09:26:42,0.49,378.05
EMP00022,IT Setup,2020-03-27 21:26:42,0.7,206.79
EMP00022,Training Module 1,2020-03-29 00:26:42,1.76,402.68
EMP00022,Training Module 2,2020-03-30 05:26:42,1.05,327.17
EMP00022,Welcome Package Distribution,2020-04-05 06:26:42,1.17,226.34
EMP00022,Feedback Collection,2020-04-20 18:26:42,1.16,470.14
EMP00023,First Week Check-in,2020-09-11 14:39:02,1.25,146.97
EMP00023,Introduction Session,2020-09-25 17:39:02,0.11,374.1
EMP00023,Complete Documentation,2020-09-28 03:39:02,0.86,409.59
EMP00023,IT Setup,2020-10-12 13:39:02,1.85,299.05
EMP00023,Training Module 1,2020-10-27 15:39:02,0.27,252.15
EMP00023,Training Module 2,2020-11-10 16:39:02,0.13,348.55
EMP00023,Welcome Package Distribution,2020-11-12 16:39:02,0.58,257.26
EMP00023,Feedback Collection,2020-11-23 17:39:02,1.4,352.48
EMP00024,First Week Check-in,2020-07-20 18:50:10,0.52,148.63
EMP00024,Introduction Session,2020-07-23 03:50:10,1.02,258.66
EMP00024,Complete Documentation,2020-07-27 14:50:10,0.75,173.78
EMP00024,IT Setup,2020-08-10 14:50:10,0.37,342.28
EMP00024,Training Module 1,2020-08-12 21:50:10,1.03,261.74
EMP00024,Training Module 2,2020-08-23 04:50:10,0.18,125.81
EMP00024,Welcome Package Distribution,2020-09-02 12:50:10,1.5,223.88
EMP00024,Feedback Collection,2020-09-17 00:50:10,1.89,318.41
EMP00025,First Week Check-in,2020-11-01 16:06:42,1.58,211.21
EMP00025,Introduction Session,2020-11-14 18:06:42,1.01,407.01
EMP00025,Complete Documentation,2020-11-18 18:06:42,0.42,356.2
EMP00025,IT Setup,2020-11-25 23:06:42,1.05,339.82
EMP00025,Training Module 1,2020-12-08 01:06:42,0.26,392.32
EMP00025,Training Module 2,2020-12-19 01:06:42,0.46,184.55
EMP00025,Welcome Package Distribution,2021-01-02 12:06:42,1.48,261.4
EMP00025,Feedback Collection,2021-01-13 15:06:42,0.82,397.82
EMP00026,First Week Check-in,2020-06-17 22:08:50,1.11,154.3
EMP00026,Introduction Session,2020-06-26 08:08:50,0.61,103.49
EMP00026,Complete Documentation,2020-06-28 14:08:50,1.04,254.83
EMP00026,IT Setup,2020-07-03 00:08:50,0.94,376.82
EMP00026,Training Module 1,2020-07-17 09:08:50,1.04,293.28
EMP00026,Training Module 2,2020-07-31 18:08:50,1.71,262.78
EMP00026,Welcome Package Distribution,2020-08-13 20:08:50,1.52,289.95
EMP00026,Feedback Collection,2020-08-18 02:08:50,1.19,263.6
EMP00027,First Week Check-in,2020-02-22 03:30:36,1.8,208.36
EMP00027,Introduction Session,2020-02-26 04:30:36,1.72,471.67
EMP00027,Complete Documentation,2020-02-29 15:30:36,0.48,241.41
EMP00027,IT Setup,2020-03-04 23:30:36,0.96,447.11
EMP00027,Training Module 1,2020-03-15 04:30:36,1.22,311.05
EMP00027,Training Module 2,2020-03-17 15:30:36,1.75,383.0
EMP00027,Welcome Package Distribution,2020-03-18 16:30:36,1.16,78.01
